category_id,category_name
100805,Đường
100806,Chất tạo ngọt
100807,Sốt & súp ăn liền
101891,Dây Nhảy
101892,Bóng Tập Yoga & Gym
101893,Máy Tập
101894,Con Lăn Tập Bụng
101895,Xà & Dụng Cụ Chống Đẩy
101896,Khác
101296,Ném Phi Tiêu
101297,Môn Thể Thao Khác
101298,Giày Bóng Rổ
101299,Giày Chạy Bộ
101300,Giày Tập Luyện
101301,Giày Tennis
101302,Giày Bóng Chuyền
101303,Giày Cầu Lông
101304,Giày Futsal
101305,Giày Dã Ngoại
100216,Chuông cửa
100217,Công tắc
100218,Thiết bị báo động nhà ở
100219,Thiết bị chống sấm sét
100043,Pin
100045,Thiết bị điều khiển từ xa
100255,Bốt thời trang
100256,Bốt đi mưa
100257,Bốt bảo hộ
100064,Giày thể thao/ Sneakers
100065,Giày sục
100066,Giày tây lười
100067,Giày Oxfords & Giày buộc dây
100259,Dép xỏ ngón
100260,Xăng-đan
100261,Dép đi trong nhà
100162,Mặt dây chuyền và Charm
100163,Măng sét nam
100164,Hình xăm dán
100165,Khẩu trang thời trang
100166,Khăn tay
100167,Khác
100035,Bộ phụ kiện
100168,Máy chiếu & Màn hình chiếu
100169,Bút trình chiếu
100170,Khác
100171,Thiết bị vệ sinh chân & Thư giãn
100172,Máy tăm nước
100173,Máy may & Phụ kiện
100454,Điện thoại có dây
100455,Điện thoại không dây
100456,Máy fax
101288,Bóng Bầu Dục
101289,Bida
101290,Lướt Ván
101291,Trượt Tuyết & Thể Thao Mùa Đông
101878,Mũ Bơi
101879,Kính Bơi
101880,Ván Tập Bơi
101881,Đèn Lặn
101882,Mặt Nạ Lặn
101883,Chân Vịt Lặn
101884,Áo Phao
101293,Chèo Thuyền
101886,Thảm Yoga
101887,Dụng Cụ Hỗ Trợ Yoga
101888,Dây Đàn Hồi
101890,Tạ Tập
100365,Quần yếm
100367,Áo khoác mùa đông
100368,Áo choàng
100369,Áo blazer
100370,Áo khoác ngoài
100371,Áo vest
100108,Áo len
100373,Áo khoác nỉ
100374,Áo hoodies
100376,Bộ đồ đôi
100377,Bộ đồ gia đình
100378,Đồ lẻ
100380,Bộ đồ lót
100381,Áo ngực
100382,Quần lót
100383,Đồ lót giữ nhiệt
101646,Son làm căng môi
100884,Tẩy trang
101649,Bông tẩy trang
101650,Túi đựng đồ trang điểm
101651,Gương
101652,Dung dịch làm sạch cọ trang điểm
101653,Cọ trang điểm
101654,Bông mút trang điểm
101655,Kẹp bấm mi
101656,Khuôn kẻ chân mày
101657,Mi giả
101658,Miếng dán mí & keo dán mí
101659,Chuốt chì kẻ mày
101660,Máy xông mặt
101661,Dụng cụ làm thon gọn & mát xa mặt
101662,Dụng cụ rửa mặt
101863,Lưới Tennis
101864,Khác
101865,Banh Bóng Bàn
101866,Vợt Bóng Bàn
101867,Lưới Bóng Bàn
101869,Bao Cát & Đệm
101870,Đai Võ
101871,"Găng Tay, Bao Tay & Mũ Bảo Hộ"
101873,Bóng Golf
101874,Gậy Golf
101875,Đồ Bảo Hộ & Luyện Tập
101876,Túi Đựng Dụng Cụ Golf
101877,Khác
101285,Bóng Chày & Bóng Ném
101286,Bóng Quần
101287,Bắn Súng & Game Sinh Tồn
100133,Chăm sóc tai
100438,Bàn chải đánh răng
100439,Bàn chải điện & phụ kiện
100440,Kem đánh răng
100441,Chỉ nha khoa
100442,Nước súc miệng
100443,Răng giả và phụ kiện
100444,Hỗ trợ trắng răng
100445,Dụng cụ hỗ trợ chỉnh nha
100446,Khác
100135,Tã người lớn
100447,Băng vệ sinh có cánh & không cánh
100448,Tampon
100449,Que thử thai
100450,Cốc nguyệt san
100451,Dung dịch vệ sinh phụ nữ
100175,Bàn là khô & Hơi nước
100458,Máy lọc không khí
100459,Máy hút ẩm
100177,Máy hút bụi & Thiết bị làm sạch sàn
100178,Khác
100461,Máy giặt
100462,Máy sấy quần áo
100180,Máy nước nóng
100464,Điều hòa
100465,Máy làm mát không khí & Điều hoà cầm tay
100466,Quạt
100182,Thiết bị sấy khô nệm & Giày
100183,Máy sưởi
100185,Tivi
100186,Ăng ten Tivi
100187,Tivi box & Đầu thu kỹ thuật số
101841,Xe Điện Cân Bằng
101842,Nón Bảo Hiểm & Đồ Bảo Hộ
101847,Bóng
101848,Găng Tay & Ống Đồng
101849,Khung Thành & Lưới
101851,Banh Bóng Rổ
101852,Khung Lưới Bóng Rổ
101853,Vật Dụng Khác
101854,Banh Bóng Chuyền
101855,Lưới Bóng Chuyền
101857,Vợt Cầu Lông
101858,Quả Cầu
101859,Lưới Cầu Lông
101860,Khác
101861,Vợt Tennis
101862,Banh Tennis
101826,Mũ Bảo Hiểm Xe Đạp
101827,Khác
101828,Dụng Cụ Nấu Ăn Dã Ngoại
101829,Đèn & Đèn Pin
101830,Lều & Phụ Kiện
101831,Túi Ngủ
101832,Ống Nhòm & Kính Thiên Văn
101833,La Bàn
101834,Dao & Bộ Dụng Cụ Cắm Trại
101835,Võng
101836,Gậy Đi Bộ
101837,Thảm & Giỏ Dã Ngoại
101838,Khác
101274,Leo Núi
101839,Ván Trượt & Giày Patin
101840,Scooters & Xe Đạp 1 Bánh
100286,Bộ phát Wifi bỏ túi
100485,Pin
100486,Sạc dự phòng
100487,Vỏ sạc dự phòng
100488,Khác
100288,Phụ kiện cho đồng hồ thông minh
100289,Miếng dán màn hình
100489,"Vỏ bao, Ốp lưng & Miếng dán máy tính bảng"
100490,"Vỏ bao, Ốp lưng & Miếng dán điện thoại"
100491,Khác
100076,Bộ đàm
100077,Khác
100085,Vali
100320,Túi trống
100321,Túi gấp gọn
100322,Túi dây rút
101265,"Phông nền, biểu ngữ"
101266,Thiệp
101267,"Chén, đĩa dùng một lần"
101268,"Mũ, mặt nạ dự tiệc"
101269,Băng đeo chéo
101270,Khác
101816,Lưỡi Câu
101817,Cần câu
